"Revision";"guid";"link";"category";"title";"description";"pubDate"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28302";"CVE";"CVE-2023-28302 Microsoft Message Queuing Denial of Service Vulnerability";"Acknowledgement added. This is an informational change only.";"Tue, 23 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2721";"CVE";"Chromium: CVE-2023-2721 Use after free in Navigation";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Thu, 18 May 2023 20:38:36 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2722";"CVE";"Chromium: CVE-2023-2722 Use after free in Autofill UI";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Thu, 18 May 2023 20:38:39 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2723";"CVE";"Chromium: CVE-2023-2723 Use after free in DevTools";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Thu, 18 May 2023 20:38:43 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2724";"CVE";"Chromium: CVE-2023-2724 Type Confusion in V8";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Thu, 18 May 2023 20:38:47 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2725";"CVE";"Chromium: CVE-2023-2725 Use after free in Guest View";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Thu, 18 May 2023 20:38:50 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2726";"CVE";"Chromium: CVE-2023-2726 Inappropriate implementation in WebApp Installs";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Thu, 18 May 2023 20:38:53 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24902";"CVE";"CVE-2023-24902 Win32k Elevation of Privilege Vulnerability";"Added acknowledgements. This is an informational change only.";"Thu, 18 May 2023 07:00:00 Z"
"1.2000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24944";"CVE";"CVE-2023-24944 Windows Bluetooth Driver Information Disclosure Vulnerability";"Updated FAQ information. This is an informational change only.";"Thu, 18 May 2023 07:00:00 Z"
"1.3000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41104";"CVE";"CVE-2022-41104 Microsoft Excel Security Feature Bypass Vulnerability";"Updated one or more CVSS scores for the affected products. This is an informational change only.";"Tue, 16 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24944";"CVE";"CVE-2023-24944 Windows Bluetooth Driver Information Disclosure Vulnerability";"Added an acknowledgement. This is an informational change only.";"Fri, 12 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24940";"CVE";"CVE-2023-24940 Windows Pragmatic General Multicast (PGM) Denial of Service Vulnerability";"Added mitigation.  This is an informational change only.";"Wed, 10 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24943";"CVE";"CVE-2023-24943 Windows Pragmatic General Multicast (PGM) Remote Code Execution Vulnerability";"Added mitigation.  This is an informational change only.";"Wed, 10 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41121";"CVE";"CVE-2022-41121 Windows Graphics Component Elevation of Privilege Vulnerability";"In the Security Updates table, removed Remote Desktop client for Windows Desktop as it is not affected by this vulnerability. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
